MJD,Temperature [mdC]
57933.90168,44210
57933.90169,44210
57933.9017,44210
57933.90172,44210
57933.90173,44210
57933.90174,44210
57933.90175,44210
57933.90176,44207
57933.90177,44207
57933.90178,44207
57933.9018,44207
57933.90181,44207
57933.90182,44207
57933.90183,44207
57933.90184,44207
57933.90185,44207
57933.90187,44207
57933.90188,44207
57933.90189,44207
57933.9019,44207
57933.90191,44207
57933.90192,44203
57933.90194,44207
57933.90195,44203
57933.90196,44207
57933.90197,44203
57933.90198,44203
57933.90199,44203
57933.902,44203
57933.90202,44203
57933.90203,44203
57933.90204,44203
57933.90205,44203
57933.90206,44203
57933.90207,44203
57933.90209,44203
57933.9021,44203
57933.90211,44199
57933.90212,44203
57933.90213,44199
57933.90214,44203
57933.90216,44203
57933.90217,44203
57933.90218,44203
57933.90219,44203
57933.9022,44203
57933.90221,44199
57933.90222,44199
57933.90224,44203
57933.90225,44199
57933.90226,44199
57933.90227,44199
57933.90228,44203
57933.90229,44199
57933.90231,44203
57933.90232,44199
57933.90233,44199
57933.90234,44199
57933.90235,44199
57933.90236,44203
57933.90237,44199
