Time(s),S21(MAG),S21(DEG)
4648.32,1.0035889,-1.356316
4656.96,1.0028142,-1.2846524
4665.6,1.0026363,-1.3930308
4674.24,1.0043029,-1.4142365
4682.88,1.003248,-1.4860405
4691.52,1.0020664,-1.3147956
4700.16,1.0028007,-1.4666244
4708.8,1.0070369,-1.3307333
4717.44,1.0062538,-1.2498879
4726.08,1.0071932,-1.2086083
4734.72,1.0058628,-1.1697437
4743.36,1.0046793,-1.1762695
4752,1.0067424,-1.2191942
4760.64,1.0030844,-1.3433218
4769.28,1.0043168,-1.4101317
4777.92,1.0030848,-1.5118661
4786.56,1.0024709,-1.3459252
4795.2,1.0024145,-1.4670068
4803.84,1.0021621,-1.5114222
4812.48,1.0040811,-1.5706149
4821.12,1.0055836,-1.3437706
4829.76,1.0082399,-1.2662174
4838.4,1.0077959,-1.3917975
4847.04,1.0066503,-1.4172338
4855.68,1.0057806,-1.4762193
4864.32,1.0045831,-1.4610341
4872.96,1.0042703,-1.3898189
4881.6,1.0049096,-1.4896535
4890.24,1.0033022,-1.5479544
4898.88,1.0035741,-1.6312461
4907.52,1.002573,-1.4858531
4916.16,1.0037346,-1.4763072
4924.8,0.99968612,-1.5962131
4933.44,1.0033299,-1.5114768
4942.08,1.0044848,-1.5259188
4950.72,1.0034455,-1.6392391
4959.36,1.0048172,-1.6272244
4968,1.0044694,-1.5378649
4976.64,1.0039885,-1.7155699
4985.28,1.001999,-1.6473557
4993.92,1.004657,-1.7413644
5002.56,1.0037717,-1.5088146
5011.2,1.0063581,-1.3937076
5019.84,1.0061091,-1.4529022
5028.48,1.0075282,-1.5948921
5037.12,1.0067852,-1.3859133
5045.76,1.0064721,-1.5136569
5054.4,1.0033914,-1.5766003
5063.04,1.0022215,-1.4833494
5071.68,1.0043416,-1.5530974
5080.32,1.0009418,-1.5793436
5088.96,1.0030339,-1.4602493
5097.6,1.0033641,-1.450006
5106.24,1.0030657,-1.4827803
5114.88,1.0058923,-1.2721074
5123.52,1.0031211,-1.3172914
5132.16,1.0069422,-1.2838174
5140.8,1.0083219,-1.2476441
5149.44,1.0052414,-1.1513004
5158.08,1.0055442,-1.2272894
5166.72,1.0052395,-1.1717856
5175.36,1.0038702,-1.3070526
5184,1.0032268,-1.1865516
5192.64,1.0038192,-1.1144425
5201.28,1.0025927,-1.2369076
5209.92,1.002296,-1.1786945
5218.56,1.0010291,-1.1016624
5227.2,1.0043839,-1.1419191
5235.84,1.0042272,-1.1600326
5244.48,1.0033442,-1.2029095
5253.12,1.002984,-1.0961269
5261.76,1.0031434,-1.1205895
5270.4,1.0035603,-1.0467577
5279.04,1.0019385,-1.0855228
5287.68,1.0025373,-1.1470871
5296.32,1.0020643,-1.0987973
5304.96,1.0042086,-0.81453353
5313.6,1.0042017,-0.87913913
5322.24,1.0075072,-0.9093141
5330.88,1.0046952,-0.84493685
5339.52,1.0052769,-0.88792348
5348.16,1.0025263,-0.96908259
5356.8,1.0033596,-0.89939249
5365.44,1.0022329,-0.99013603
5374.08,1.0028536,-1.0217389
5382.72,1.0040069,-0.89216584
5391.36,1.0019244,-0.98866999
5400,1.005674,-0.77028668
5408.64,1.0067773,-0.81046832
5417.28,1.0046827,-0.87373942
5425.92,1.0061368,-0.84950203
5434.56,1.0039954,-0.90670133
5443.2,1.0058483,-0.85207361
5451.84,1.003708,-0.81060576
5460.48,1.00397,-0.96076483
5469.12,1.0017207,-1.0261102
5477.76,1.0032324,-0.94682038
5486.4,1.0043954,-1.0031426
5495.04,1.0031379,-0.88407898
5503.68,1.0034628,-0.82661784
5512.32,1.0050199,-0.95139778
5520.96,1.0009012,-0.93536323
5529.6,1.0033661,-0.98318982
5538.24,1.0008936,-0.88215834
5546.88,1.0023721,-0.93897277
5555.52,1.0034608,-0.99884039
5564.16,1.0040158,-1.0070705
5572.8,1.0039564,-0.8309387
5581.44,1.0020034,-0.72898203
5590.08,1.0065848,-0.76177651
5598.72,1.0073808,-0.75529444
