Time(s),S21(MAG),S21(DEG)
1771.2,0.99714321,-15.85928
1774.8,0.99771744,-15.726494
1778.4,0.99886805,-15.819789
1782,0.99825358,-15.928836
1785.6,0.99844444,-15.999228
1789.2,0.99968815,-15.996224
1792.8,0.99752843,-15.906521
1796.4,0.9994424,-15.916674
1800,0.99965328,-15.894483
1803.6,1.0002792,-16.003433
1807.2,0.99795973,-15.924496
1810.8,0.99938661,-15.975837
1814.4,0.99824136,-15.959187
1818,0.99755687,-16.020689
1821.6,0.99865997,-16.016405
1825.2,1.0000596,-16.076048
1828.8,0.99671805,-16.155539
1832.4,0.99774951,-16.116385
1836,0.99751759,-16.216436
1839.6,0.99638456,-16.09771
1843.2,0.99834609,-16.19482
1846.8,0.9969424,-16.27117
1850.4,0.99854499,-16.160639
1854,0.99913353,-16.153706
1857.6,0.99716389,-16.325983
1861.2,0.99809915,-16.24872
1864.8,0.99481678,-16.199234
1868.4,0.99872869,-16.308775
1872,1.0001884,-16.241095
1875.6,0.99781746,-16.205612
1879.2,0.99860722,-16.28437
1882.8,0.99915171,-16.343838
1886.4,1.0008602,-16.32041
1890,0.99860281,-16.279383
1893.6,0.99940223,-16.324055
1897.2,0.99468613,-16.304113
1900.8,0.99804097,-16.151459
1904.4,0.99875498,-16.277365
1908,0.99833375,-16.335169
1911.6,0.99918878,-16.180979
1915.2,0.99908125,-16.176889
1918.8,0.99866349,-16.134964
1922.4,0.99632472,-16.189465
1926,0.9990859,-16.211172
1929.6,0.99760801,-16.225683
1933.2,0.9976685,-16.111259
1936.8,0.99857938,-16.228373
1940.4,0.9996115,-16.171274
1944,0.99960607,-16.213205
1947.6,0.99834353,-16.222317
1951.2,0.99920815,-16.298136
1954.8,0.9980759,-16.335783
1958.4,0.9985112,-16.30121
1962,0.99690986,-16.367491
1965.6,0.99676538,-16.375666
1969.2,0.99588346,-16.467344
1972.8,0.99789202,-16.490395
1976.4,1.0007513,-16.544819
1980,0.99964094,-16.474724
1983.6,0.99973232,-16.45986
1987.2,0.99848413,-16.523296
1990.8,1.0005734,-16.380634
1994.4,0.99970073,-16.474977
1998,0.99978191,-16.40559
2001.6,1.000523,-16.541388
2005.2,0.99802148,-16.461105
2008.8,0.99788946,-16.574884
2012.4,0.99760085,-16.533176
2016,0.99338424,-16.507349
2019.6,0.99927509,-16.531857
2023.2,0.99917865,-16.441708
2026.8,1.0004419,-16.636106
2030.4,1.0006598,-16.471218
2034,0.99968445,-16.528894
2037.6,0.99970841,-16.546453
2041.2,0.99566221,-16.547131
2044.8,0.99842745,-16.589432
2048.4,0.99756342,-16.627954
2052,1.0013345,-16.59082
2055.6,0.99919254,-16.590284
2059.2,0.99753946,-16.703554
2062.8,0.99877501,-16.619572
2066.4,0.99717885,-16.697395
